,Pris,address,zipcode,m2,rooms
280, 2.195.000, Borgmester Christiansens Gade 4,2450 København SV,49,2
281, 2.295.000, Rytterstaldstræde 3A,4200 Slagelse,136,4
282, 2.295.000, Maglekæret 22D ,2680 Solrød Strand,82,3
283, 2.298.000, Norgesgade 18,9000 Aalborg,69,3
284, 2.395.000, Slangerupgade 25B,3400 Hillerød,80,3
285, 2.395.000, Eremitageparken 201,2800 Kongens Lyngby,59,2
286, 2.395.000, Enggårdsgade 48,9000 Aalborg,118,4
287, 2.395.000, Rådhustorvet 37 ,3660 Stenløse,79,3
288, 2.495.000, Østergade 10,4700 Næstved,129,4
289, 2.495.000, Allehelgensgade 8A,4000 Roskilde,75,2
290, 2.495.000, Enghavevej 13,1674 København V,46,2
291, 2.495.000, Borups Allé 219,2400 København NV,64,3
292, 2.595.000, Falstersgade 46 2 th ,9000 Aalborg,83,3
293, 2.595.000, Fundersvej 6K,7100 Vejle,101,3
294, 2.598.000, Engtoften 8A,8260 Viby J,79,4
295, 2.850.000, Sallingvej 65,2720 Vanløse,81,3
296, 2.875.000, Rådmand Steins Alle 33,2000 Frederiksberg,71,2
297, 2.960.000, Ryetvej 21,3500 Værløse,96,4
298, 2.995.000, Flakholmen 11,2720 Vanløse,73,3
299, 3.150.000, Byporten 7 ,2970 Hørsholm,87,4
300, 3.195.000, Serbiensgade 5 3 th ,2300 København S,57,2
301, 3.195.000, Kildevældets Alle 4,2600 Glostrup,95,3
302, 3.199.000, Søndergade 20A ,8300 Odder,195,6
303, 3.249.000, Hvidovrevej 346,2650 Hvidovre,75,3
304, 3.290.000, Poppelgade 1,2200 København N,45,2
305, 3.395.000, Hauser Plads 26,1127 København K,49,2
306, 3.495.000, Danmarksgade 53 3 tv ,9000 Aalborg,121,4
307, 3.495.000, Ved Linden 3,2300 København S,70,2
308, 3.495.000, Harsdorffsvej 4B,1874 Frederiksberg C,54,2
309, 3.495.000, Hjortespringvej 44,2730 Herlev,79,2
310, 3.495.000, Amalievej 21,1875 Frederiksberg C,62,2
311, 3.495.000, Frue Kirke Stræde 3,4000 Roskilde,75,3
312, 3.898.000, Jerichausgade 11,8000 Aarhus C,77,3
313, 3.950.000, Steen Billes Gade 7 st ,8200 Aarhus N,112,4
314, 3.995.000, Frederiks Allé 102,8000 Aarhus C,80,3
315, 3.995.000, Strandboulevarden 119,2100 København Ø,68,3
316, 3.995.000, Ericavej 165,2820 Gentofte,123,5
317, 3.995.000, Bryggervangen 34,2100 København Ø,77,3
318, 3.995.000, Fiskedamsgade 18,2100 København Ø,54,2
319, 3.995.000, H. Schneekloths Vej 13,2000 Frederiksberg,75,3
320, 4.195.000, Munkensvej 11,2000 Frederiksberg,78,3
321, 4.495.000, Søndre Fasanvej 56,2000 Frederiksberg,84,3
322, 4.495.000, Bernhard Bangs Alle 1,2000 Frederiksberg,91,3
323, 4.495.000, Bratskovvej 1A,2720 Vanløse,83,4
324, 4.750.000, Ingerslevs Plads 1B,8000 Aarhus C,87,3
325, 4.750.000, Strandparken 35,8000 Aarhus C,102,4
326, 4.995.000, Ole Suhrs Gade 19,1354 København K,73,3
327, 4.998.000, Ceres Allé 7,8000 Aarhus C,110,4
328, 5.248.000, Teglholmsgade 6E,2450 København SV,102,3
329, 5.250.000, Silkeborggade 49,2100 København Ø,83,3
330, 5.495.000, Strandbjerg 4C,2960 Rungsted Kyst,114,3
331, 5.595.000, Eskildsgade 62,1657 København V,96,4
332, 5.995.000, Henrik Ibsens Vej 9,1813 Frederiksberg C,87,4
333, 5.995.000, Århusgade 140,2150 Nordhavn,96,3
334, 5.998.000, Sjællandsgade 112,8000 Aarhus C,129,6
335, 6.395.000, Thad Jones Vej 14,2450 København SV,101,3
336, 6.750.000, Åbenrå 35,1124 København K,101,4
337, 6.845.000, Halls Alle 12,1802 Frederiksberg C,95,4
338, 8.695.000, Vestergade 56D,8000 Aarhus C,144,3
339, 8.850.000, Classensgade 17A,2100 København Ø,136,4
340, 8.995.000, Havneholmen 82 4 th ,1561 København V,80,2
341, 595.000, Grøfthøjparken 151,8260 Viby J,33,1
342, 995.000, Stranden 70,9560 Hadsund,66,4
343, 1.095.000, Odinsvej 10,4700 Næstved,72,2
344, 1.198.000, Strubjerg 128,9400 Nørresundby,82,2
345, 1.248.000, Ingemanns Alle 175B,6700 Esbjerg,72,2
346, 1.375.000, Lollandsgade 9,9000 Aalborg,61,2
347, 1.399.000, Lotusvej 18,5250 Odense SV,91,4
348, 1.445.000, Istedgade 33,9000 Aalborg,50,2
349, 1.695.000, Breslaugade 10,2300 København S,38,1
350, 1.698.000, Danmarksgade 10,6700 Esbjerg,93,4
351, 1.750.000, Ellebækvej 60,2820 Gentofte,47,2
352, 1.795.000, Stjernepladsen 9 ,9000 Aalborg,47,2
353, 1.795.000, Københavnsvej 6D,3400 Hillerød,56,2
354, 1.849.000, Vejlebrovej 81,2635 Ishøj,66,2
355, 1.895.000, Sthensvej 7A,2630 Taastrup,54,1
356, 1.995.000, Lyngborghave 4B,3460 Birkerød,72,3
357, 2.195.000, Borgergade 23A,8700 Horsens,134,5
358, 2.195.000, Ulrikkenborg Alle 31,2800 Kongens Lyngby,44,1
359, 2.295.000, Bistrup Park 20 ,3460 Birkerød,73,3
360, 2.445.000, Vordingborggade 90,2100 København Ø,50,2
361, 2.498.000, Valdemarsgade 52,8000 Aarhus C,47,2
362, 2.595.000, Lyngbyvej 32C,2100 København Ø,64,1
363, 2.695.000, Ålandsgade 5,2300 København S,50,2
364, 2.995.000, Kantorparken 16,8240 Risskov,116,4
365, 3.100.000, Mariane Thomsens Gade 39,8000 Aarhus C,78,2
366, 3.198.000, Nygårdsvej 88,6700 Esbjerg,101,4
367, 3.295.000, Overgaden Oven Vandet 76,1415 København K,56,2
368, 3.395.000, Christian 8.s Vej 28,8600 Silkeborg,117,4
369, 3.495.000, Munkensvej 2,2000 Frederiksberg,67,2
370, 3.595.000, Matthæusgade 46B,1666 København V,54,2
371, 3.595.000, Poppellunden 8,4000 Roskilde,92,3
372, 3.650.000, Jyllingevej 4,2720 Vanløse,93,4
373, 3.995.000, Kongelysvej 12,2820 Gentofte,93,4
374, 3.995.000, Ved Bommen 45 ,2820 Gentofte,111,3
375, 3.995.000, Dronningens Tværgade 32,1302 København K,58,2
376, 4.195.000, Carit Etlars Vej 4B,1814 Frederiksberg C,71,2
377, 4.195.000, Edvard Thomsens Vej 23,2300 København S,97,4
378, 4.500.000, Præstøgade 16,2100 København Ø,73,3
379, 4.995.000, Sølystgade 44,8000 Aarhus C,110,4
380, 5.295.000, Øresundsvej 144F,2300 København S,94,3
381, 5.995.000, Strandpromenaden 3D,3000 Helsingør,147,4
382, 6.195.000, Monica Zetterlunds Vej 27,2450 København SV,99,4
383, 8.300.000, Dronning Olgas Vej 47,2000 Frederiksberg,124,4
384, 8.550.000, Adelgade 44A,8660 Skanderborg,202,5
385, 9.250.000, Dampfærgevej 24B 3 th ,2100 København Ø,118,2
386, 11.195.000, Sundkaj 13 ,2150 Nordhavn,161,5
387, 11.990.000, Frederiksvej 3,2000 Frederiksberg,195,6
388, 845.000, Grønningen 29E ,9800 Hjørring,73,2
389, 1.345.000, Højagerparken 19,2750 Ballerup,46,1
390, 2.150.000, Roskildevænget 6,4000 Roskilde,71,3
391, 2.295.000, Buegården 5,2880 Bagsværd,60,2
392, 2.395.000, Skjoldagervej 72,2820 Gentofte,57,2
393, 3.195.000, Ewaldsensvej 12,2000 Frederiksberg,66,2
394, 3.700.000, Burmeistersgade 19,1429 København K,51,2
395, 4.395.000, C.F. Møllers Allé 58,2300 København S,93,3
396, 5.195.000, Ben Websters Vej 106,2450 København SV,87,3
397, 8.995.000, Reventlowsgade 28,1651 København V,152,5
398, 485.000, Fægangen 14 st mf ,4180 Sorø,27,1
399, 695.000, H C Andersens Vej 65,4700 Næstved,39,2
400, 788.000, Nyvej 13 st th ,8920 Randers NV,68,2
401, 945.000, Revlingbakken 33 3 402 ,9000 Aalborg,68,2
402, 1.195.000, Dronningensgade 19 1 tv ,9400 Nørresundby,70,2
403, 1.200.000, Klingegade 13,3700 Rønne,109,2
404, 1.425.000, Østerbro 57 st th ,9000 Aalborg,58,2
405, 1.445.000, Bjergbygade 5C ,4200 Slagelse,86,2
406, 1.495.000, Orionvej 47B,4700 Næstved,80,3
407, 2.195.000, Bryggertorvet 21 ,3650 Ølstykke,68,3
408, 2.275.000, Hovedgaden 54B,4050 Skibby,88,3
409, 2.495.000, Søndre Fasanvej 94B,2500 Valby,53,1
410, 2.595.000, Lindevangshusene 90,2630 Taastrup,97,4
411, 2.695.000, Lombardigade 21,2300 København S,53,2
412, 3.198.000, Guldsmedgade 8 2 ,8000 Aarhus C,72,3
413, 3.350.000, Søbakkevej 2,2640 Hedehusene,87,3
414, 3.495.000, Matthæusgade 48C,1666 København V,71,2
415, 4.295.000, Sundevedsgade 21,1751 København V,68,2
416, 845.000, Nic Rumps Vej 6,4220 Korsør,79,3
417, 875.000, Ægirsvej 9,8920 Randers NV,84,3
418, 1.025.000, Christmas Møllers Vej 11,5200 Odense V,58,2
419, 1.095.000, Kystvejen 10E,9850 Hirtshals,54,2
420, 1.199.000, Møllegården 12,6320 Egernsund,84,3
