new_index,Pris,address,zipcode,m2,rooms
5401, 1.295.000, Højgaardsvej 5,8300 Odder,82,3
5402, 1.395.000, Lichtenbergsgade 3C,8700 Horsens,85,3
5403, 1.695.000, Sankt Jørgens Gade 4,9000 Aalborg,69,2
5404, 1.795.000, Hellebo Park 1,3000 Helsingør,64,1
5405, 1.850.000, Hvalsøvej 42B,2700 Brønshøj,47,2
5406, 1.875.000, Hellebo Park 1,3000 Helsingør,64,1
5407, 1.895.000, Vangede Bygade 76,2820 Gentofte,44,1
5408, 1.898.000, Fynsgade 4,8000 Aarhus C,49,1
5409, 1.995.000, Stengade 50E,3000 Helsingør,64,4
5410, 1.998.000, Fynsgade 4,8000 Aarhus C,49,2
5411, 1.998.000, Sønderborggade 11,8000 Aarhus C,70,2
5412, 1.999.000, Banegårdsgade 16,8000 Aarhus C,49,2
5413, 2.250.000, Frederiksgade 48A,8000 Aarhus C,48,2
5414, 2.295.000, Kongsvang Allé 20,8000 Aarhus C,63,2
5415, 2.445.000, Anders Nielsens Vej 21B,9400 Nørresundby,86,3
5416, 2.495.000, Grønnegården 521B ,2670 Greve,81,4
5417, 2.598.000, Guldsmedgade 20B,8000 Aarhus C,57,2
5418, 2.599.000, Peter Bangs Vej 225,2500 Valby,54,2
5419, 2.995.000, Jensløvsvej 15,2920 Charlottenlund,65,2
5420, 2.998.000, Vesterbrogade 192,1800 Frederiksberg C,65,3
5421, 3.250.000, Vangede Bygade 110,2820 Gentofte,71,3
5422, 3.395.000, Søllerød Park 12,2840 Holte,89,3
5423, 3.855.000, skovhaven 10,9560 Hadsund,106,3
5424, 4.075.000, Aksel Møllers Have 4,2000 Frederiksberg,80,3
5425, 4.499.000, Fynsgade 15A,8000 Aarhus C,90,4
5426, 4.995.000, Vendersgade 31B ,1363 København K,70,3
5427, 5.200.000, Sct. Laurentii Vej 24,9990 Skagen,172,4
5428, 5.499.000, Ovenvande 2A,8660 Skanderborg,147,4
5429, 5.595.000, Amager Boulevard 116,2300 København S,95,3
5430, 6.495.000, Havnen 9,8700 Horsens,198,5
5431, 9.500.000, Bifaldet 19,4000 Roskilde,170,4
5432, 10.495.000, Trelleborggade 14,2150 Nordhavn,118,4
5433, 1.048.000, Grøndalsvej 62,8260 Viby J,56,2
5434, 1.375.000, Damhusvej 97,5000 Odense C,62,2
5435, 1.495.000, Gildbrovej 47,2635 Ishøj,46,2
5436, 1.545.000, Bellevue 1,5900 Rudkøbing,114,3
5437, 1.548.000, Strandbygade 83,6700 Esbjerg,90,3
5438, 2.195.000, Ved Slusen 32Z,2300 København S,50,2
5439, 2.295.000, Høkervej 5G,9492 Blokhus,86,3
5440, 2.495.000, Nordre Jernbanevej 3F,3400 Hillerød,87,3
5441, 2.795.000, Mariane Thomsens Gade 6,8000 Aarhus C,62,2
5442, 3.195.000, Flegmade 9K,7100 Vejle,116,3
5443, 3.195.000, Flegmade 9L,7100 Vejle,110,3
5444, 3.295.000, Flegmade 9K,7100 Vejle,116,3
5445, 3.295.000, Flegmade 9L,7100 Vejle,110,3
5446, 3.395.000, Flegmade 9L,7100 Vejle,110,3
5447, 3.495.000, Frederiksborgvej 10,2400 København NV,88,4
5448, 3.495.000, Flegmade 9E,7100 Vejle,120,3
5449, 3.495.000, Flegmade 9E,7100 Vejle,119,3
5450, 3.495.000, Flegmade 9H,7100 Vejle,119,3
5451, 3.495.000, Flegmade 9H,7100 Vejle,121,3
5452, 3.495.000, Flegmade 11H,7100 Vejle,119,3
5453, 3.495.000, Flegmade 11H,7100 Vejle,121,3
5454, 3.549.000, Flegmade 9D,7100 Vejle,102,3
5455, 3.595.000, Flegmade 9E,7100 Vejle,120,3
5456, 3.595.000, Flegmade 9E,7100 Vejle,119,3
5457, 3.595.000, Flegmade 9H,7100 Vejle,121,3
5458, 3.595.000, Flegmade 9H,7100 Vejle,119,3
5459, 3.595.000, Flegmade 11H,7100 Vejle,121,3
5460, 3.595.000, Flegmade 11H,7100 Vejle,119,3
5461, 3.649.000, Flegmade 9E,7100 Vejle,115,3
5462, 3.695.000, Flegmade 9K,7100 Vejle,129,3
5463, 3.695.000, Flegmade 9L,7100 Vejle,135,3
5464, 3.695.000, Flegmade 9E,7100 Vejle,119,3
5465, 3.695.000, Flegmade 9H,7100 Vejle,119,3
5466, 3.695.000, Flegmade 11H,7100 Vejle,119,3
5467, 3.795.000, Flegmade 9L,7100 Vejle,135,3
5468, 3.795.000, Flegmade 9K,7100 Vejle,129,3
5469, 3.895.000, Flegmade 9K,7100 Vejle,129,3
5470, 3.995.000, Flegmade 9K,7100 Vejle,129,3
5471, 4.250.000, Indiakaj 11,2100 København Ø,75,2
5472, 4.495.000, Blågårdsgade 16B,2200 København N,72,3
5473, 4.695.000, Flegmade 9E,7100 Vejle,135,3
5474, 4.695.000, Flegmade 9H,7100 Vejle,135,3
5475, 4.695.000, Flegmade 11H,7100 Vejle,135,3
5476, 5.750.000, Blegdalsparken 43,9000 Aalborg,164,4
5477, 6.995.000, Flegmade 9G,7100 Vejle,228,4
5478, 6.995.000, Flegmade 11G,7100 Vejle,228,4
5479, 7.095.000, Flegmade 9L,7100 Vejle,219,4
5480, 7.195.000, Flegmade 9K,7100 Vejle,220,4
5481, 7.495.000, Flegmade 9E,7100 Vejle,236,4
5482, 9.350.000, Frederiksberg Bredegade 3B,2000 Frederiksberg,112,5
5483, 9.495.000, Julius Thomsens Gade 22,1632 København V,194,5
5484, 735.000, Grøfthøjparken 162,8260 Viby J,42,1
5485, 785.000, Platanvej 55,8930 Randers NØ,81,2
5486, 1.095.000, Ligustervej 39B ,8600 Silkeborg,89,3
5487, 1.350.000, Sofievej 88,9000 Aalborg,86,3
5488, 1.795.000, Rødegårdsvej 67,5000 Odense C,85,3
5489, 3.800.000, Sallingvej 13,2720 Vanløse,99,4
5490, 6.500.000, Taarbæk Strandvej 59,2930 Klampenborg,71,3
5491, 7.995.000, Henrik Steffens Vej 7,1866 Frederiksberg C,111,4
5492, 9.500.000, Frederiksgade 10,1265 København K,127,5
5493, 595.000, Steen Blichers Gade 21A 3 tv ,8900 Randers C,56,2
5494, 995.000, Parkvej 8,4700 Næstved,83,3
5495, 1.298.000, Vestre Fjordvej 44,9000 Aalborg,62,2
