,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
135,3495000, Uffesgade 10,2200 København N,55,2,12.54841555,55.69541564,134.87,2184.75,387.84,148.16,1584.49,Hovedstaden
136,3850000, Studsgaardsgade 14,2100 København Ø,66,3,12.55756428,55.70927092,307.43,3721.08,521.92,164.17,1786.03,Hovedstaden
137,3995000, Christiansgade 29 3 th ,8000 Aarhus C,104,4,10.20316598,56.15549281,761.35,1195.84,638.14,319.7,5701.16,Midtjylland
138,3995000, Skt. Pauls Gade 12,8000 Aarhus C,75,3,10.20542531,56.14666503,350.29,685.34,609.43,170.47,6604.35,Midtjylland
139,3995000, Bonkesvej 3A,2650 Hvidovre,107,4,12.47301852,55.65937342,644.39,4169.0,509.14,445.8,1846.7,Hovedstaden
140,4495000, Edvard Thomsens Vej 69,2300 København S,108,3,12.57810851,55.63263825,169.85,584.08,361.5,228.55,4628.77,Hovedstaden
141,4595000, Borups Allé 219,2400 København NV,122,5,12.5219231,55.69945846,342.8,4532.48,502.94,224.71,2317.48,Hovedstaden
142,4600000, Skovvejen 44E,8000 Aarhus C,87,4,10.21935945,56.16788232,758.01,2449.56,1079.81,493.21,5442.97,Midtjylland
143,4795000, Kong Georgs Vej 53,2000 Frederiksberg,83,3,12.53270783,55.68850394,166.66,3202.11,701.76,389.62,1080.94,Hovedstaden
144,4995000, Nordre Fasanvej 164,2000 Frederiksberg,92,4,12.53381052,55.6942885,481.82,3317.41,645.36,166.22,1446.53,Hovedstaden
145,4998000, Helga Pedersens Gade 9,8000 Aarhus C,113,4,10.23014864,56.16654773,1387.26,2819.72,1755.61,1227.86,6484.53,Midtjylland
146,5995000, Gernersgade 11,1319 København K,78,3,12.58900703,55.68760376,348.95,1064.24,528.95,228.86,2493.28,Hovedstaden
147,6495000, Amager Boulevard 110,2300 København S,122,4,12.59378819,55.66651293,348.97,2455.47,595.57,426.61,2780.21,Hovedstaden
148,6595000, Gyldenløvesgade 21,1600 København V,123,4,12.56097076,55.68053144,436.8,1245.99,879.33,448.2,2758.92,Hovedstaden
149,6995000, Jagtvej 191,2100 København Ø,126,4,12.56907734,55.70776055,370.73,2780.94,210.73,442.08,1911.31,Hovedstaden
150,7498000, Teglholmens Østkaj 32,2450 København SV,111,3,12.55393972,55.6480783,355.27,3167.15,463.1,287.66,6416.02,Hovedstaden
151,7795000, Strandgade 14,1401 København K,104,3,12.58901564,55.67337751,338.79,1830.91,459.16,291.81,3283.3,Hovedstaden
152,8495000, Vodroffsvej 26 st th ,1900 Frederiksberg C,122,4,12.55494899,55.67792188,258.67,1151.1,282.6,483.61,2605.37,Hovedstaden
153,8498000, Willemoesgade 63,2100 København Ø,126,4,12.58622209,55.69868269,190.63,981.66,197.02,218.83,1713.7,Hovedstaden
154,14500000, Klerkegade 2A,1308 København K,151,4,12.58704609,55.68614745,208.15,1482.78,394.48,97.75,2204.08,Hovedstaden
155,475000, Skelvangsvej 105,8920 Randers NV,67,2,10.01302461,56.48522697,490.1,3649.52,1510.22,1165.91,4289.22,Midtjylland
156,495000, Lyksborgvej 38,7500 Holstebro,43,2,8.61284016,56.37165312,259.2,1427.94,477.51,723.78,1964.17,Midtjylland
