new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance
2980, 7.195.000kr. , Svinget 21,2300 København S,130,4,12.5950603,55.66432778,82.44,2652.35,296.74,267.17,2822.28
2981, 7.245.000kr. , Willy Brandts Vej 1,2450 København SV,111,3,12.56253744,55.65728776,225.9,2890.24,1425.71,629.5,5515.64
2982, 7.695.000kr. , Amagerbrogade 96F,2300 København S,164,4,12.60554802,55.65974285,26.77,3425.4,676.1,246.78,1577.94
2983, 7.698.000kr. , George Marshalls Vej 25,2450 København SV,113,4,12.56225564,55.65873928,296.7,2238.99,1385.92,821.45,4566.93
2984, 7.875.000kr. , Irma Pedersens Gade 168,8000 Aarhus C,153,4,10.22684569,56.16361005,1095.31,2906.61,1448.66,954.51,6553.43
2985, 8.495.000kr. , Strandvejen 141A,2900 Hellerup,99,3,12.57524122,55.72924922,330.27,759.61,428.5,389.4,2424.71
2986, 8.500.000kr. , Julius Posselts Vej 3A,9400 Nørresundby,144,3,9.89978971,57.06557038,699.3,442.29,807.49,802.24,3131.69
2987, 8.750.000kr. , Prinsesse Alexandrines Alle 12,2920 Charlottenlund,126,4,12.56389053,55.75480536,470.47,3244.45,912.0,320.22,3269.05
2988, 598.000kr. , Skelvangsvej 67,8920 Randers NV,84,3,10.01466359,56.48517765,405.37,3369.1,1385.49,885.49,4008.7
2989, 698.000kr. , Revlingbakken 33,9000 Aalborg,46,1,9.89811331,57.02606419,285.94,2777.16,1467.65,413.67,2013.61
2990, 985.000kr. , Liselejevej 2A,3360 Liseleje,62,0,11.98731291,56.00731317,570.04,2429.12,2200.89,431.17,20919.95
2991, 998.000kr. , Skjoldsgade 96,6700 Esbjerg,59,2,8.43823688,55.47275417,514.5,1672.43,1013.62,274.5,1470.95
2992, 1.095.000kr. , Skærødvej 15E,3200 Helsinge,57,2,12.16074687,56.01283203,1960.13,3466.96,2480.76,3094.23,19878.91
2993, 1.195.000kr. , Finlandsvej 2E 3 tv ,7100 Vejle,76,3,9.55932971,55.71927064,234.12,1826.22,178.36,227.24,1843.8
2994, 1.195.000kr. , Virum Stationsvej 144D ,2830 Virum,29,1,12.462641,55.79023594,764.89,2750.76,205.96,974.64,9569.31
2995, 1.198.000kr. , Spangsbjerggade 3,6700 Esbjerg,73,3,8.44160834,55.46837774,476.82,1385.36,657.48,201.1,1611.97
2996, 1.275.000kr. , Nordlandsvej 27,7100 Vejle,71,2,9.5179953,55.7242257,1050.93,2340.03,1032.45,361.34,2409.21
2997, 1.295.000kr. , Søborg Hovedgade 199,2860 Søborg,38,1,12.49774731,55.74184491,568.48,4371.34,778.03,1016.51,3520.74
2998, 1.395.000kr. , Søndermarksvej 7 3 tv ,4200 Slagelse,111,4,11.38956333,55.40478804,314.46,3739.36,441.5,837.37,2790.11
2999, 1.445.000kr. , Lindholmsvej 75A,9400 Nørresundby,75,3,9.90848927,57.07033072,395.66,797.51,300.52,415.36,3146.91
3000, 1.495.000kr. , Roskildevej 378 st 3 ,2630 Taastrup,50,2,12.29608414,55.65815704,571.17,4858.2,671.94,900.61,8195.05
3001, 1.495.000kr. , Toggangen 5,2730 Herlev,54,2,12.44321226,55.72182621,345.85,9144.92,912.67,603.77,2558.06
3002, 1.495.000kr. , Gildbrovej 49,2635 Ishøj,51,2,12.36477507,55.61809877,215.07,8781.47,455.34,837.25,9119.88
3003, 1.495.000kr. , Nyvangsvej 14,5000 Odense C,60,2,10.39973291,55.40704787,211.37,1370.97,784.79,616.21,4867.21
3004, 1.598.000kr. , Frodesgade 144 2 th ,6700 Esbjerg,82,3,8.43855551,55.47352024,599.11,1752.65,1098.14,247.54,1399.66
3005, 1.745.000kr. , Danmarksgade 29 1 ,9000 Aalborg,91,3,9.92256442,57.04520689,260.19,570.57,830.44,103.65,1043.03
3006, 1.825.000kr. , Gammel Køge Landevej 180,2500 Valby,52,2,12.50237218,55.64505089,301.32,2604.89,856.47,379.29,4953.48
3007, 1.895.000kr. , Klintholmvej 2,2700 Brønshøj,49,2,12.49435621,55.70486636,229.62,6110.18,111.03,220.93,3337.58
3008, 1.950.000kr. , Rantzausgade 22,9000 Aalborg,70,3,9.9201497,57.04391821,467.31,308.89,576.36,133.68,1027.55
